,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,total_supply
0,bitcoin,btc,Bitcoin,66982.0,1331113553916,1,45472931574.0,1.05325,19996631.0,19996631.0
1,ethereum,eth,Ethereum,1983.85,237376633378,2,23519985724.0,1.78786,120692230.1356825,120692230.1356825
2,tether,usdt,Tether,1.0,183640504775,3,75589137849.0,-0.0271,183633868264.8259,189100805662.9562
3,binancecoin,bnb,BNB,623.77,84538105675,4,1379064389.0,1.16203,136358710.97,136358710.97
4,ripple,xrp,XRP,1.37,83516362213,5,3684832810.0,0.35829,61090376977.0,99985708785.0
5,usd-coin,usdc,USDC,1.0,75192056943,6,8964257088.0,0.00748,75192220879.72311,75193251609.21268
6,solana,sol,Solana,85.48,48427758767,7,5156924681.0,1.12129,569647261.6728957,621465332.9555267
7,tron,trx,TRON,0.281348,26638986858,8,412631979.0,-0.16588,94741011793.7253,94741542666.652
8,figure-heloc,figr_heloc,Figure Heloc,1.029,15908254518,9,286520.0,0.0,15459774198.387,15459774198.387
9,dogecoin,doge,Dogecoin,0.093766,15728400016,10,1404918691.0,0.01031,168942613126.579,168947313126.5791
10,whitebit,wbt,WhiteBIT Coin,48.91,10443697656,11,58149908.0,-1.36726,213544699.0,320044699.0
11,cardano,ada,Cardano,0.27815,10183298415,12,601757617.0,-0.36362,36820032120.64621,45000000000.0
12,usds,usds,USDS,1.0,10132335100,13,15693230.0,0.00462,10132377421.18322,10132377421.18322
13,bitcoin-cash,bch,Bitcoin Cash,448.71,8927382471,14,280504381.0,-0.91978,20001599.89665078,20001874.89665078
14,leo-token,leo,LEO Token,9.18,8454798525,15,1126597.0,2.1458,921252076.9,985239504.0
15,hyperliquid,hype,Hyperliquid,32.4,7694670929,16,329131242.0,6.90385,238385315.9541414,962274028.9541414
16,monero,xmr,Monero,341.64,6292917732,17,79600882.0,1.8675,18446744.07370955,18446744.07370955
17,chainlink,link,Chainlink,8.82,6231135123,18,403341007.0,0.26363,708099970.4525867,1000000000.0
18,canton-network,cc,Canton,0.16285,6169504383,19,23915192.0,-2.70536,37922329893.81106,37922329893.81106
19,ethena-usde,usde,Ethena USDe,0.999308,6027336271,20,36510315.0,-0.02092,6030900789.915732,6030900789.915732
20,stellar,xlm,Stellar,0.156587,5133135847,21,128274847.0,-1.08607,32955616160.26514,50001786883.65895
21,usd1-wlfi,usd1,USD1,0.999395,4683311712,22,1947385999.0,0.00859,4686762480.514846,4686762480.514846
22,rain,rain,Rain,0.00927376,4408163017,23,29087943.0,0.85631,477941028893.81793,1149928971619.071
23,hedera-hashgraph,hbar,Hedera,0.098859,4227154863,24,108696137.0,-0.61462,43003421564.46569,50000000000.0
24,paypal-usd,pyusd,PayPal USD,1.0,4203028696,25,88945036.0,0.02172,4203341568.864539,4203341568.864539
25,dai,dai,Dai,1.001,4198999005,26,61242803.0,0.14152,4201721574.25376,4201721574.25376
26,litecoin,ltc,Litecoin,54.0,4137087587,27,317179045.0,0.1633,76897520.73347135,76904264.48347135
27,avalanche-2,avax,Avalanche,9.14,3927662014,28,374123899.0,0.68108,431771961.1772119,463441061.1772119
28,zcash,zec,Zcash,220.27,3615962846,29,336005527.0,0.04747,16579700.1655448,16579990.7905448
29,sui,sui,Sui,0.905809,3513458225,30,935930455.0,1.03153,3899984688.415443,10000000000.0
30,shiba-inu,shib,Shiba Inu,5.65e-06,3310247784,31,137433468.0,-1.26907,589243817187937.9,589500358955066.1
31,crypto-com-chain,cro,Cronos,0.075513,3086588338,32,11785047.0,-0.27026,41069854837.57534,98436461923.0346
32,world-liberty-financial,wlfi,World Liberty Financial,0.10985,3024179349,33,87542617.0,-1.96285,27661113609.0,100000000000.0
33,tether-gold,xaut,Tether Gold,5309.45,2995038504,34,960862133.0,-0.00484,564548.641693,712747.089
34,the-open-network,ton,Toncoin,1.22,2975624213,35,108401778.0,-3.33945,2452558906.873433,5155554601.366651
35,polkadot,dot,Polkadot,1.58,2622432736,36,217758370.0,-3.02874,1670267382.354268,1670267382.354268
36,memecore,m,MemeCore,1.49,2598434114,37,8215086.0,2.34224,1741332529.326772,5341317104.843564
37,pax-gold,paxg,PAX Gold,5379.2,2547844308,38,638501385.0,-0.1236,473805.587,473805.587
38,uniswap,uni,Uniswap,3.82,2404244728,39,231678990.0,0.41073,633561603.6037512,898494420.0366304
39,mantle,mnt,Mantle,0.641486,2083739997,40,27961277.0,0.47922,3252944055.53684,6219316794.889999
