date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio
2018-03-27,4427.0,724916.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-03-28,4407.0,432394.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-03-29,4402.0,318966.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-03-30,4495.0,376013.0,0,0,-0.0,0.0,,0.0,ohlcv_proxy,
2018-04-02,4436.0,290080.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-03,4417.0,321648.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-04,4383.0,394369.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-05,4397.0,257055.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-06,4407.0,596211.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-09,4397.0,336403.0,0,0,-1e-06,0.0,,0.0,ohlcv_proxy,
2018-04-10,4383.0,470939.0,0,0,-1e-06,0.0,-0.036446,0.0,ohlcv_proxy,
2018-04-11,4353.0,441747.0,0,0,-1e-06,0.0,-0.026695,0.0,ohlcv_proxy,
2018-04-12,4387.0,314460.0,0,0,-0.0,0.0,-0.018114,0.0,ohlcv_proxy,
2018-04-13,4412.0,409091.0,0,0,-0.0,0.0,-0.014271,0.0,ohlcv_proxy,
2018-04-16,4417.0,213604.0,0,0,-0.0,0.0,-0.012607,0.0,ohlcv_proxy,
2018-04-17,4422.0,179151.0,0,0,-0.0,0.0,-0.009775,0.0,ohlcv_proxy,
2018-04-18,4500.0,668077.0,0,0,0.0,0.0,0.001685,0.0,ohlcv_proxy,
2018-04-19,4505.0,484731.0,0,0,0.0,0.0,0.009868,0.0,ohlcv_proxy,
2018-04-20,4539.0,257547.0,0,0,0.0,0.0,0.013588,0.0,ohlcv_proxy,
2018-04-23,4495.0,330680.0,0,0,0.0,0.0,0.015414,0.0,ohlcv_proxy,
2018-04-24,4558.0,407797.0,0,0,0.0,0.0,0.01774,0.0,ohlcv_proxy,
2018-04-25,4510.0,454888.0,0,0,0.0,0.0,0.01726,0.0,ohlcv_proxy,
2018-04-26,4515.0,380551.0,0,0,0.0,0.0,0.016702,0.0,ohlcv_proxy,
2018-04-27,4524.0,459414.0,0,0,0.0,0.0,0.015784,0.0,ohlcv_proxy,
2018-04-30,4510.0,455706.0,0,0,0.0,0.0,0.015244,0.0,ohlcv_proxy,
2018-05-02,4451.0,581922.0,0,0,-0.0,0.0,0.009562,0.0,ohlcv_proxy,
2018-05-03,4431.0,393589.0,0,0,-0.0,0.0,0.005894,0.0,ohlcv_proxy,
2018-05-04,4446.0,528758.0,0,0,-0.0,0.0,0.002679,0.0,ohlcv_proxy,
2018-05-08,4446.0,258012.0,0,0,-0.0,0.0,-0.0012,0.0,ohlcv_proxy,
2018-05-09,4407.0,319249.0,0,0,-0.0,0.0,-0.005626,0.0,ohlcv_proxy,
2018-05-10,4422.0,191453.0,0,0,-0.0,0.0,-0.007867,0.0,ohlcv_proxy,
2018-05-11,4539.0,620297.0,0,0,0.0,0.1,-0.002765,0.0,ohlcv_proxy,
2018-05-14,4588.0,591717.0,0,0,1e-06,0.1,0.004001,0.0,ohlcv_proxy,
2018-05-15,4573.0,156551.0,0,0,0.0,0.1,0.005839,0.0,ohlcv_proxy,
2018-05-16,4524.0,274023.0,0,0,0.0,0.1,0.009674,0.0,ohlcv_proxy,
2018-05-17,4524.0,273317.0,0,0,0.0,0.1,0.011185,0.0,ohlcv_proxy,
2018-05-18,4510.0,239384.0,0,0,0.0,0.1,0.010833,0.0,ohlcv_proxy,
2018-05-21,4515.0,97933.0,0,0,0.0,0.1,0.005459,0.0,ohlcv_proxy,
2018-05-23,4505.0,194882.0,0,0,0.0,0.1,0.003368,0.0,ohlcv_proxy,
2018-05-24,4485.0,367857.0,0,0,-0.0,0.1,0.000903,0.0,ohlcv_proxy,
2018-05-25,4417.0,522719.0,0,0,-0.0,0.1,-0.005075,0.0,ohlcv_proxy,
2018-05-28,4436.0,366801.0,0,0,-0.0,0.0,-0.007351,0.0,ohlcv_proxy,
2018-05-29,4534.0,471122.0,0,0,0.0,0.0,-0.004058,0.0,ohlcv_proxy,
2018-05-30,4461.0,300718.0,0,0,-0.0,0.0,-0.004366,0.0,ohlcv_proxy,
2018-05-31,4466.0,185899.0,0,0,-0.0,0.0,-0.004731,0.0,ohlcv_proxy,
2018-06-01,4475.0,171888.0,0,0,-0.0,0.0,-0.001457,0.0,ohlcv_proxy,
2018-06-04,4466.0,219398.0,0,0,-0.0,0.0,9.4e-05,0.0,ohlcv_proxy,
2018-06-05,4466.0,276594.0,0,0,-0.0,0.0,-0.005792,0.0,ohlcv_proxy,
2018-06-07,4500.0,299203.0,0,0,0.0,0.0,-0.004052,0.0,ohlcv_proxy,
2018-06-08,4475.0,147289.0,0,0,-0.0,0.0,-0.004638,0.0,ohlcv_proxy,
2018-06-11,4471.0,153848.0,0,0,-0.0,0.0,-0.005142,0.0,ohlcv_proxy,
2018-06-12,4475.0,159214.0,0,0,-0.0,0.0,-0.003556,0.0,ohlcv_proxy,
2018-06-14,4431.0,403742.0,0,0,-0.0,-0.1,-0.003186,0.0,ohlcv_proxy,
2018-06-15,4407.0,648347.0,0,0,-0.0,-0.2,-0.007943,0.0,ohlcv_proxy,
2018-06-18,4358.0,468948.0,0,0,-1e-06,-0.3,-0.010524,0.0,ohlcv_proxy,
2018-06-19,4314.0,349827.0,0,0,-1e-06,-0.3,-0.012789,0.0,ohlcv_proxy,
2018-06-20,4314.0,370683.0,0,0,-1e-06,-0.3,-0.01466,0.0,ohlcv_proxy,
2018-06-21,4280.0,450342.0,0,0,-1e-06,-0.3,-0.018439,0.0,ohlcv_proxy,
2018-06-22,4231.0,398366.0,0,0,-1e-06,-0.3,-0.024962,0.0,ohlcv_proxy,
2018-06-25,4265.0,285409.0,0,0,-1e-06,-0.3,-0.027214,0.0,ohlcv_proxy,
2018-06-26,4221.0,424993.0,0,0,-1e-06,-0.3,-0.028709,0.0,ohlcv_proxy,
2018-06-27,4202.0,168927.0,0,0,-1e-06,-0.3,-0.0309,0.0,ohlcv_proxy,
2018-06-28,4187.0,159388.0,0,0,-1e-06,-0.2,-0.031126,0.0,ohlcv_proxy,
2018-06-29,4158.0,269195.0,0,0,-1e-06,-0.1,-0.031545,0.0,ohlcv_proxy,
