Date,Close,High,Low,Open,Volume,"('Close', '^Ks11')","('High', '^Ks11')","('Low', '^Ks11')","('Open', '^Ks11')","('Volume', '^Ks11')"
1996-12-11,704.6799926757812,709.47998046875,704.4299926757812,705.989990234375,28000.0,,,,,
1996-12-12,689.3800048828125,706.010009765625,688.739990234375,705.1099853515625,25900.0,,,,,
1996-12-13,689.0700073242188,695.719970703125,677.6400146484375,690.4400024414062,26500.0,,,,,
1996-12-16,673.9199829101562,686.969970703125,667.7100219726562,686.969970703125,22800.0,,,,,
1996-12-17,663.3499755859375,680.0900268554688,660.3900146484375,675.3499755859375,31600.0,,,,,
1996-12-18,661.3900146484375,671.4299926757812,655.469970703125,662.0700073242188,31500.0,,,,,
1996-12-19,690.969970703125,690.969970703125,668.1300048828125,668.1300048828125,30400.0,,,,,
1996-12-20,700.8699951171875,703.510009765625,692.469970703125,695.3300170898438,30000.0,,,,,
1996-12-23,684.8099975585938,697.1199951171875,684.8099975585938,691.97998046875,21500.0,,,,,
1996-12-24,677.760009765625,687.0599975585938,677.5599975585938,683.1099853515625,23800.0,,,,,
1996-12-26,659.010009765625,676.2100219726562,655.239990234375,676.2100219726562,25500.0,,,,,
1996-12-27,651.219970703125,657.0399780273438,643.5700073242188,654.8200073242188,35100.0,,,,,
1997-01-03,653.7899780273438,655.7000122070312,635.4099731445312,647.6699829101562,13900.0,,,,,
1997-01-06,626.8699951171875,637.97998046875,625.010009765625,637.97998046875,17600.0,,,,,
1997-01-07,611.0499877929688,627.6099853515625,609.1199951171875,622.4500122070312,24100.0,,,,,
1997-01-08,621.4099731445312,623.3900146484375,600.5599975585938,608.530029296875,34200.0,,,,,
1997-01-09,639.8699951171875,640.8099975585938,612.4099731445312,619.0999755859375,36100.0,,,,,
1997-01-10,648.6900024414062,653.5900268554688,636.8099975585938,637.989990234375,36500.0,,,,,
1997-01-13,659.5399780273438,664.9500122070312,655.739990234375,659.8099975585938,28700.0,,,,,
1997-01-14,686.5900268554688,687.6599731445312,656.6699829101562,656.6699829101562,36600.0,,,,,
1997-01-15,699.760009765625,699.760009765625,686.02001953125,690.1799926757812,42000.0,,,,,
1997-01-16,711.8599853515625,711.9600219726562,694.3900146484375,701.6400146484375,47300.0,,,,,
1997-01-17,701.1799926757812,720.4099731445312,695.77001953125,713.0700073242188,48200.0,,,,,
1997-01-20,718.4600219726562,720.6900024414062,697.5599975585938,697.5599975585938,43000.0,,,,,
1997-01-21,690.5399780273438,721.7899780273438,690.5399780273438,721.0399780273438,44300.0,,,,,
1997-01-22,678.9400024414062,686.8900146484375,671.9099731445312,686.7100219726562,36700.0,,,,,
1997-01-23,676.9099731445312,685.1400146484375,672.72998046875,679.3400268554688,31000.0,,,,,
1997-01-24,679.5599975585938,679.5599975585938,658.1799926757812,669.030029296875,35500.0,,,,,
1997-01-27,664.7000122070312,685.4600219726562,664.6799926757812,684.3099975585938,28300.0,,,,,
1997-01-28,662.8499755859375,677.6300048828125,653.4199829101562,661.6599731445312,30400.0,,,,,
1997-01-29,663.5599975585938,672.9000244140625,654.9500122070312,663.3300170898438,30200.0,,,,,
1997-01-30,676.52001953125,679.0399780273438,662.27001953125,663.6500244140625,28800.0,,,,,
1997-01-31,685.8400268554688,687.989990234375,678.1699829101562,678.1900024414062,32000.0,,,,,
1997-02-03,687.25,696.2100219726562,681.010009765625,682.260009765625,27300.0,,,,,
1997-02-04,695.9500122070312,696.239990234375,687.8400268554688,687.8400268554688,33100.0,,,,,
1997-02-05,698.5999755859375,708.2000122070312,697.9500122070312,698.1799926757812,38600.0,,,,,
1997-02-06,700.219970703125,704.4400024414062,693.8200073242188,698.5399780273438,34100.0,,,,,
1997-02-10,709.7899780273438,709.7999877929688,701.4299926757812,701.4299926757812,29300.0,,,,,
1997-02-11,713.4299926757812,713.8800048828125,707.8599853515625,711.1099853515625,41400.0,,,,,
1997-02-12,712.5,715.8699951171875,708.719970703125,714.8200073242188,35300.0,,,,,
1997-02-13,716.7100219726562,726.1300048828125,713.6400146484375,713.6400146484375,49800.0,,,,,
1997-02-14,721.0,723.02001953125,715.0,717.2899780273438,39100.0,,,,,
1997-02-17,712.9299926757812,721.5,712.9299926757812,720.4199829101562,31500.0,,,,,
1997-02-18,706.9400024414062,715.1799926757812,703.989990234375,712.6199951171875,30400.0,,,,,
1997-02-19,713.6699829101562,713.6699829101562,706.5800170898438,708.6400146484375,31100.0,,,,,
1997-02-20,711.1300048828125,716.1799926757812,707.8300170898438,713.5,35000.0,,,,,
1997-02-21,686.719970703125,711.75,686.7100219726562,710.8699951171875,30800.0,,,,,
1997-02-24,676.5900268554688,686.9400024414062,676.1099853515625,681.47998046875,24100.0,,,,,
1997-02-25,682.8099975585938,682.8099975585938,670.4099731445312,676.72998046875,25300.0,,,,,
1997-02-26,679.7100219726562,691.27001953125,679.6599731445312,683.5900268554688,29900.0,,,,,
1997-02-27,669.4099731445312,679.7999877929688,668.7100219726562,678.1099853515625,30300.0,,,,,
1997-02-28,676.530029296875,679.0700073242188,664.75,669.010009765625,37800.0,,,,,
1997-03-03,679.6400146484375,684.4400024414062,677.1799926757812,677.1799926757812,27000.0,,,,,
1997-03-04,679.969970703125,683.3200073242188,675.8200073242188,679.510009765625,28100.0,,,,,
1997-03-05,674.9000244140625,684.5499877929688,673.6300048828125,680.47998046875,38800.0,,,,,
1997-03-06,678.1099853515625,685.9500122070312,675.25,675.25,41300.0,,,,,
1997-03-07,681.219970703125,685.260009765625,679.8300170898438,679.8300170898438,37400.0,,,,,
1997-03-10,667.3499755859375,674.2899780273438,667.2899780273438,673.9099731445312,29400.0,,,,,
1997-03-11,655.9500122070312,665.8300170898438,654.9199829101562,665.8300170898438,29800.0,,,,,
1997-03-12,663.9000244140625,663.9000244140625,655.0700073242188,655.760009765625,30000.0,,,,,
1997-03-13,657.9000244140625,666.260009765625,656.8599853515625,663.9099731445312,32100.0,,,,,
1997-03-14,642.0800170898438,657.97998046875,641.8300170898438,657.72998046875,27600.0,,,,,
1997-03-17,658.9000244140625,658.9400024414062,641.0399780273438,642.1699829101562,28400.0,,,,,
1997-03-18,657.969970703125,663.7000122070312,653.25,659.72998046875,30500.0,,,,,
1997-03-19,646.2899780273438,656.9000244140625,643.0399780273438,656.9000244140625,33000.0,,,,,
1997-03-20,642.8599853515625,646.72998046875,630.3699951171875,642.72998046875,34100.0,,,,,
1997-03-21,627.6300048828125,640.52001953125,626.3900146484375,640.52001953125,34200.0,,,,,
