ticker,name,sector,type,score
005930,삼성전자,반도체,equity,1.0
000660,SK하이닉스,반도체,equity,0.4385
034020,두산에너빌리티,etc,equity,0.0855
005380,현대차,자동차,equity,0.0722
373220,LG에너지솔루션,2차전지,equity,0.0686
015760,한국전력,에너지,equity,0.0665
105560,KB금융,금융,equity,0.0545
006800,미래에셋증권,etc,equity,0.0535
000270,기아,자동차,equity,0.0515
055550,신한지주,금융,equity,0.0442
042660,한화오션,소재/화학,equity,0.0347
028260,삼성물산,유통/소비재,equity,0.0358
069500,KODEX 200,인덱스,etf,0.5
148070,KOSEF 국고채10년,채권,bond_etf,0.5
305720,KODEX 2차전지산업,2차전지ETF,etf,0.5
