ticker,name,sector,type,score
005930,삼성전자,반도체,equity,1.0
000660,SK하이닉스,반도체,equity,0.461
010140,삼성중공업,etc,equity,0.2972
034020,두산에너빌리티,etc,equity,0.13
005380,현대차,자동차,equity,0.0624
373220,LG에너지솔루션,2차전지,equity,0.056
042660,한화오션,소재/화학,equity,0.0481
000270,기아,자동차,equity,0.0412
105560,KB금융,금융,equity,0.0411
006400,삼성SDI,2차전지,equity,0.0372
035420,NAVER,IT/소프트웨어,equity,0.0249
028260,삼성물산,유통/소비재,equity,0.0319
069500,KODEX 200,인덱스,etf,0.5
148070,KOSEF 국고채10년,채권,bond_etf,0.5
305720,KODEX 2차전지산업,2차전지ETF,etf,0.5
