DATE,MKTGDPCNA646NWDB
1990-01-01,361560229445.507
1991-01-01,384510452961.672
1992-01-01,428502354788.069
1993-01-01,446557291212.148
1994-01-01,566929539493.172
1995-01-01,738190896227.55
1996-01-01,868523936530.083
1997-01-01,967753570434.667
1998-01-01,1037134141760.35
1999-01-01,1103843203575.64
2000-01-01,1223754919971.05
2001-01-01,1355036590251.52
2002-01-01,1489821682050.54
2003-01-01,1683903309843.85
2004-01-01,1984196551300.44
2005-01-01,2317551298052.05
2006-01-01,2791498472804.33
2007-01-01,3604055822571.6304
2008-01-01,4667346414521.95
2009-01-01,5189577094997.58
2010-01-01,6192564874453.29
2011-01-01,7671757207851.29
2012-01-01,8673664713189.24
2013-01-01,9743124247267.24
2014-01-01,10674533168257.4
2015-01-01,11280814787468.9
2016-01-01,11456024084962.0
2017-01-01,12537559062282.9
2018-01-01,14147765772963.8
2019-01-01,14560167101283.4
2020-01-01,14996414166715.1
2021-01-01,18201698719564.0
2022-01-01,18316765021690.2
2023-01-01,18270356654533.2
2024-01-01,18743803170827.2
